year,ISO3,ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus,Area_km2,Population_Density
2022,NGA,Nigeria,NG,Abia,NG001,2094668,2048425,4143093,335552,279401,233734,157163,149264,159273,153149,141635,123887,97610,77767,61276,46916,32666,21709,13090,10576,332752,274685,228983,160471,156681,168076,155970,128490,105704,78710,63531,60033,50495,36028,24068,13585,10163,668304,554086,462717,317634,305945,327349,309119,270125,229591,176320,141298,121309,97411,68694,45777,26675,20739,6320,655.5526899
2022,NGA,Nigeria,NG,Adamawa,NG002,2446708,2455347,4902055,414427,347902,315042,253759,218033,172985,146396,144933,127108,92749,69384,51324,37052,24332,15293,8936,7053,418106,350749,317950,264574,230595,184330,149303,123584,103132,84659,68883,55220,42056,28171,17700,9512,6823,832533,698651,632992,518333,448628,357315,295699,268517,230240,177408,138267,106544,79108,52503,32993,18448,13876,36917,132.7858439
2022,NGA,Nigeria,NG,Akwa Ibom,NG003,2487982,2491436,4979418,305461,294371,273328,215510,202371,199320,187019,177053,158412,129162,104876,83101,63042,41126,26113,16391,11326,311122,297784,275461,225416,219707,222188,201070,164855,135893,102059,82763,78775,66404,46119,30576,18429,12815,616583,592155,548789,440926,422078,421508,388089,341908,294305,231221,187639,161876,129446,87245,56689,34820,24141,7081,703.2083039
2022,NGA,Nigeria,NG,Anambra,NG004,2983151,2970366,5953517,437103,384269,362494,235274,214450,226416,218481,208178,184017,143100,112877,88878,67018,44334,28022,16156,12084,442739,386831,364454,243757,228747,244599,226719,187969,155221,115169,92744,87656,73571,52136,34565,19616,13873,879842,771100,726948,479031,443197,471015,445200,396147,339238,258269,205621,176534,140589,96470,62587,35772,25957,4844,1229.049752
2022,NGA,Nigeria,NG,Bauchi,NG005,4160248,4148535,8308783,772241,685532,609840,438817,350153,257995,210610,213720,188699,136964,101060,71923,50301,32415,19949,11319,8710,780999,685013,606409,453424,375348,286186,221183,168689,135395,116052,96510,77356,58979,39558,24822,13095,9517,1553240,1370545,1216249,892241,725501,544181,431793,382409,324094,253016,197570,149279,109280,71973,44771,24414,18227,49119,169.1561921
2022,NGA,Nigeria,NG,Bayelsa,NG006,1267098,1270277,2537375,164891,163709,165687,115265,99891,96221,89401,83646,73910,60537,48827,37419,27638,17689,10976,6592,4799,167851,163974,165146,117762,107116,106819,96226,78749,64691,49548,40152,36543,29817,20311,13065,7316,5191,332742,327683,330833,233027,207007,203040,185627,162395,138601,110085,88979,73962,57455,38000,24041,13908,9990,10773,235.530957
2022,NGA,Nigeria,NG,Benue,NG007,3105106,3036178,6141284,433445,412027,398625,352861,302052,237702,198812,192204,167969,122568,91571,68528,49875,32007,20404,13463,10993,429675,402465,386383,355062,314019,254164,204780,161309,130646,105946,85925,70344,54280,36179,22877,12643,9481,863120,814492,785008,707923,616071,491866,403592,353513,298615,228514,177496,138872,104155,68186,43281,26106,20474,34059,180.3131037
2022,NGA,Nigeria,NG,Borno,NG008,3029395,3082067,6111462,432028,375824,399619,370815,301637,216918,177483,189826,170862,122834,90531,65515,46499,30285,18938,11113,8668,445627,379531,400699,383626,326674,245822,191646,156439,130767,111426,92793,75264,57628,38258,23886,13014,8967,877655,755355,800318,754441,628311,462740,369129,346265,301629,234260,183324,140779,104127,68543,42824,24127,17635,70898,86.2007673
2022,NGA,Nigeria,NG,Cross River,NG009,2207001,2199203,4406204,257008,305390,301395,199778,174064,166747,155760,150354,132968,103339,81021,62587,46569,30028,18992,11916,9085,260082,305718,300449,205626,184177,178279,160753,137873,115564,86804,69550,63464,51750,34827,22383,12799,9105,517090,611108,601844,405404,358241,345026,316513,288227,248532,190143,150571,126051,98319,64855,41375,24715,18190,20156,218.6050804
2022,NGA,Nigeria,NG,Delta,NG010,2829285,2806860,5636145,408413,352545,315768,242904,224901,217911,203480,195723,173811,135731,107639,84956,64556,43836,28246,16221,12644,410339,353122,315800,251387,238895,236254,213468,180570,150340,112177,89460,80822,66407,47108,31120,17140,12451,818752,705667,631568,494291,463796,454165,416948,376293,324151,247908,197099,165778,130963,90944,59366,33361,25095,17698,318.4622556
2022,NGA,Nigeria,NG,Ebonyi,NG011,1703744,1538774,3242518,283493,244028,212575,153279,134352,122699,109542,98508,85959,69752,56628,46067,35218,22215,13862,8900,6667,262849,221629,190875,147491,134537,123800,105501,79827,62995,48193,39536,37960,32049,22237,14633,8539,6123,546342,465657,403450,300770,268889,246499,215043,178335,148954,117945,96164,84027,67267,44452,28495,17439,12790,5935,546.3383319
2022,NGA,Nigeria,NG,Edo,NG012,2382155,2394887,4777042,352457,307993,287291,204360,180761,173659,164281,166300,148663,110192,84714,67023,51182,35429,23261,13610,10979,355245,309247,288435,213561,192748,185804,171615,163301,141244,98935,74624,64029,51311,37074,24652,13399,9663,707702,617240,575726,417921,373509,359463,335896,329601,289907,209127,159338,131052,102493,72503,47913,27009,20642,17802,268.3429952
2022,NGA,Nigeria,NG,Ekiti,NG013,1799478,1792685,3592163,265655,240334,219090,143443,131415,138207,132346,123220,107197,81079,63307,51400,39711,26622,17356,10986,8110,268124,240757,218919,148089,141163,152006,140987,116548,94387,64990,49873,48071,40677,28672,19266,11575,8581,533779,481091,438009,291532,272578,290213,273333,239768,201584,146069,113180,99471,80388,55294,36622,22561,16691,6353,565.4278294
2022,NGA,Nigeria,NG,Enugu,NG014,2451113,2238940,4690053,371596,335406,291263,183542,172130,181264,174858,167106,147541,110943,87326,73537,58284,40039,26615,16796,12867,347611,310348,267813,182214,175076,180934,165660,139390,114595,78371,61218,62481,54911,40606,28120,16951,12641,719207,645754,559076,365756,347206,362198,340518,306496,262136,189314,148544,136018,113195,80645,54735,33747,25508,7161,654.9438626
2022,NGA,Nigeria,NG,Abuja,NG015,1484198,1583259,3067457,219220,187531,161896,141938,128202,114944,106736,113869,112850,78171,49421,30714,17688,10694,4944,2983,2397,233023,196488,166967,137760,120838,104548,99539,107648,121387,98299,74850,51224,35084,19887,9229,4094,2394,452243,384019,328863,279698,249040,219492,206275,221517,234237,176470,124271,81938,52772,30581,14173,7077,4791,7315,419.3379357
2022,NGA,Nigeria,NG,Gombe,NG016,1907881,2052241,3960122,333929,294788,260525,206516,169945,126670,104074,105390,92933,66975,49260,35348,24925,16172,10066,5825,4540,361980,316335,278583,220475,192410,159155,128196,95880,75126,61638,49835,39579,29874,19652,12213,6546,4764,695909,611123,539108,426991,362355,285825,232270,201270,168059,128613,99095,74927,54799,35824,22279,12371,9304,18768,211.0039429
2022,NGA,Nigeria,NG,Imo,NG017,2748610,2710727,5459337,391018,380170,346761,217238,194631,200415,190639,178820,159537,128315,104357,84872,65846,44534,29199,18171,14087,390837,376915,342570,223947,208634,220018,202786,166111,136316,99121,79698,78767,68040,49316,33566,19368,14717,781855,757085,689331,441185,403265,420433,393425,344931,295853,227436,184055,163639,133886,93850,62765,37539,28804,5530,987.2218807
2022,NGA,Nigeria,NG,Jigawa,NG018,3818803,3704594,7499059,726420,614331,516490,402133,325390,229220,185466,199814,181484,134432,100466,70777,49259,31948,19772,11219,8893,719104,599438,500330,416102,347596,246738,182474,138557,114245,108365,94852,75987,58347,39789,25427,13716,10478,1445524,1213769,1016820,818235,672986,475958,367940,338371,295729,242797,195318,146764,107606,71737,45199,24935,19371,23154,323.8774726
2022,NGA,Nigeria,NG,Kaduna,NG019,4581564,4450617,9032181,764320,574184,534033,523409,444383,333798,276860,285100,253320,182291,133982,96325,67763,43704,26721,14492,11330,755290,557550,515005,518936,455691,352900,280605,232400,194306,160957,131272,104378,78880,52530,32398,16377,11142,1519610,1131734,1049038,1042345,900074,686698,557465,517500,447626,343248,265254,200703,146643,96234,59119,30869,22472,46053,196.1257899
2022,NGA,Nigeria,NG,Kano,NG020,7436564,8025613,15462177,1233314,1085606,1051578,857985,681731,485803,393292,415627,373213,270814,199947,142389,99793,64902,40151,22193,18226,1347682,1178679,1138946,901353,756690,614146,491437,370101,293764,248231,204829,163753,125211,85447,54482,29089,21773,2580996,2264285,2190524,1759338,1438421,1099949,884729,785728,666977,519045,404776,306142,225004,150349,94633,51282,39999,20131,768.0779395
2022,NGA,Nigeria,NG,Katsina,NG021,5203404,5165079,10368483,1019383,835709,715079,561025,446215,314926,253127,266451,239099,174048,128663,91525,64139,41524,25811,14858,11822,1030151,833651,708343,582526,479442,347946,261611,199835,162327,145311,123787,99548,76260,51273,32472,17483,13113,2049534,1669360,1423422,1143551,925657,662872,514738,466286,401426,319359,252450,191073,140399,92797,58283,32341,24935,24192,428.5913938
2022,NGA,Nigeria,NG,Kebbi,NG022,2829460,2734447,5563907,536923,432349,362021,314952,255834,177046,141714,153953,139307,99301,72353,51197,36050,24162,15557,9276,7465,528462,420565,349558,316298,265316,190072,142629,111684,92091,82812,70300,54646,41639,29444,19509,11177,8245,1065385,852914,711579,631250,521150,367118,284343,265637,231398,182113,142653,105843,77689,53606,35066,20453,15710,36985,150.4368528
2022,NGA,Nigeria,NG,Kogi,NG023,2247148,2219653,4466801,364828,271325,214255,247383,226841,172815,143985,146478,131504,99375,75810,55839,39961,25162,15414,9405,6768,365040,269144,211379,255097,241080,190336,151489,120350,98789,82327,68227,57203,44538,28921,18066,10470,7197,729868,540469,425634,502480,467921,363151,295474,266828,230293,181702,144037,113042,84499,54083,33480,19875,13965,29833,149.7268461
2022,NGA,Nigeria,NG,Kwara,NG024,1791950,1759073,3551023,301022,244721,203917,184806,159884,124917,106509,109484,98875,74477,57206,43556,32279,21353,13744,8484,6716,299231,240031,198733,187342,168185,136437,111853,93400,78169,62355,50910,43881,34906,23388,15056,8836,6360,600253,484752,402650,372148,328069,261354,218362,202884,177044,136832,108116,87437,67185,44741,28800,17320,13076,36825,96.42968092
2022,NGA,Nigeria,NG,Lagos,NG025,6542571,6949233,13491804,709828,782059,777431,582107,509361,451498,449196,551240,523148,388322,289099,200380,137370,88582,53777,28891,20282,752415,826016,820620,602850,508877,429341,433772,563581,558296,449139,351693,252305,175812,110544,64603,31435,17934,1462243,1608075,1598051,1184957,1018238,880839,882968,1114821,1081444,837461,640792,452685,313182,199126,118380,60326,38216,3577,3771.821079
2022,NGA,Nigeria,NG,Nasarawa,NG026,1463465,1422557,2886022,252700,203793,162177,157975,138100,103684,86994,92039,82454,58778,42746,30230,21036,13401,8311,5018,4029,248819,197092,155866,156686,142159,110548,88531,73893,62086,51827,42298,33275,24845,15980,9738,5157,3757,501519,400885,318043,314661,280259,214232,175525,165932,144540,110605,85044,63505,45881,29381,18049,10175,7786,27117,106.4285135
2022,NGA,Nigeria,NG,Niger,NG027,3426921,3356404,6783325,550633,500058,481701,394062,313821,228728,189279,200984,179035,126481,91131,63333,43577,28137,17500,10290,8171,547333,488758,468443,394215,323540,240344,187811,156154,132032,114590,95221,74017,55046,35912,22170,11920,8898,1097966,988816,950144,788277,637361,469072,377090,357138,311067,241071,186352,137350,98623,64049,39670,22210,17069,76363,88.8299962
2022,NGA,Nigeria,NG,Ogun,NG028,3232585,3146947,6379532,377907,439907,443350,310013,260620,227898,211891,220190,199352,156176,121656,89623,65341,44058,29124,18897,16582,367594,425681,429106,308964,265671,234648,210744,197703,175302,142709,116176,94906,72364,47296,29550,16497,12036,745501,865588,872456,618977,526291,462546,422635,417893,374654,298885,237832,184529,137705,91354,58674,35394,28618,16980,375.7085984
2022,NGA,Nigeria,NG,Ondo,NG029,2670882,2645721,5316603,354855,363064,333378,233890,210513,201483,187405,176703,155742,125001,100137,77767,58512,39044,25283,15814,12291,354507,360183,330329,238584,223160,220378,198964,165813,136977,103970,83224,74148,60045,41045,26833,15812,11749,709362,723247,663707,472474,433673,421861,386369,342516,292719,228971,183361,151915,118557,80089,52116,31626,24040,15500,343.0066452
2022,NGA,Nigeria,NG,Osun,NG030,2219961,2215842,4435803,287302,276040,248177,186581,174013,172776,162726,155349,139057,110628,89172,72509,56272,38113,24867,15181,11198,290616,276748,247803,193091,187097,191539,175769,150155,125375,89047,69793,67227,57061,40313,26990,15789,11429,577918,552788,495980,379672,361110,364315,338495,305504,264432,199675,158965,139736,113333,78426,51857,30970,22627,9251,479.494433
2022,NGA,Nigeria,NG,Oyo,NG031,4020046,3956035,7976081,563280,523749,498475,359741,312801,289288,267415,263971,238750,192794,155217,119771,90149,61372,40098,24515,18660,560479,518488,491924,365184,328059,312578,280332,242183,205833,160604,130920,116127,94154,64712,42287,24570,17601,1123759,1042237,990399,724925,640860,601866,547747,506154,444583,353398,286137,235898,184303,126084,82385,49085,36261,28454,280.3149294
2022,NGA,Nigeria,NG,Plateau,NG032,2408394,2308911,4717305,363019,325139,289449,251623,224720,184147,158665,156054,136091,98219,72659,53195,38104,24889,15651,9225,7545,351512,310993,275678,247312,225684,186874,154846,129083,108135,89140,72129,56449,42048,27216,16635,8794,6383,714531,636132,565127,498935,450404,371021,313511,285137,244226,187359,144788,109644,80152,52105,32286,18019,13928,30913,152.5993918
2022,NGA,Nigeria,NG,Rivers,NG033,3685567,3791238,7476805,476022,438959,409647,309680,295556,297393,285109,278950,246616,190569,148150,111775,81405,51986,31883,18676,13191,495760,454946,424184,326859,316102,319639,297307,264130,225741,172657,137815,120300,95419,63483,39909,22085,14902,971782,893905,833831,636539,611658,617032,582416,543080,472357,363226,285965,232075,176824,115469,71792,40761,28093,11077,674.9846529
2022,NGA,Nigeria,NG,Sokoto,NG034,3237546,3153501,6391047,563588,505965,488361,366275,278022,190065,152030,168739,155185,114562,85461,59978,42217,28960,18785,10851,8502,561663,498438,477398,371822,294350,212344,158680,120394,98057,89593,77452,62419,48884,35392,23707,13339,9569,1125251,1004403,965759,738097,572372,402409,310710,289133,253242,204155,162913,122397,91101,64352,42492,24190,18071,25973,246.0650291
2022,NGA,Nigeria,NG,Taraba,NG035,1800432,1809411,3609843,289154,261406,230518,194749,164845,125026,104907,108879,97367,71365,52830,37211,25737,16105,9816,5897,4620,294951,263705,231651,201789,175343,135919,107921,87139,72893,63851,53646,42861,32340,20717,12682,6935,5068,584105,525111,462169,396538,340188,260945,212828,196018,170260,135216,106476,80072,58077,36822,22498,12832,9688,54473,66.26848163
2022,NGA,Nigeria,NG,Yobe,NG036,1794832,1854775,3649607,282930,258579,252627,201881,165622,124580,103167,105840,93286,65817,47672,33935,23800,15638,9748,5492,4218,296723,267710,260519,214249,181227,139852,109572,85648,70195,61409,51359,40191,30347,20580,13057,7125,5012,579653,526289,513146,416130,346849,264432,212739,191488,163481,127226,99031,74126,54147,36218,22805,12617,9230,45502,80.20761725
2022,NGA,Nigeria,NG,Zamfara,NG037,2959893,2873601,5833494,510306,496671,434578,324740,255901,176690,142441,158237,143787,101577,73375,51020,35452,24014,15379,8730,6995,504064,486776,424020,329993,268439,191893,143270,109936,90443,84210,72507,55778,42338,30300,20092,11209,8333,1014370,983447,858598,654733,524340,368583,285711,268173,234230,185787,145882,106798,77790,54314,35471,19939,15328,39762,146.7102761
